time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1611964800,34262.11,34900,32852.86,34315.63,41986.37,38570.13,28732,28732,34022.829999999994,34406.229,38885.76467154398,29926.693328456025,31461.858650037237,32713.882767120274,NaN,NaN,53.95789198609126,51.5849189221051,NaN,NaN
1612051200,34315.63,34387.75,32200,33137.74,41986.37,38570.13,28732,28732,33241.829999999994,34290.48649999999,38775.516391491576,29805.456608508408,31960.43338016808,32660.610710069355,NaN,NaN,50.35909319259938,50.9884941548345,NaN,NaN
1612137600,33137.75,34728.57,32333,33533.19,41986.37,38570.13,28732,28732,33531.58666666667,34265.19699999999,38761.30458169848,29769.089418301504,32148.626550790275,33356.97960705979,NaN,NaN,51.52796103053454,50.34944232745609,NaN,NaN
1612224000,33534.39,36000,33450,35512.67,41986.37,38570.13,28732,28732,34987.556666666664,34171.14749999999,38476.18917007444,29866.105829925546,32861.00131984225,33766.453582502065,NaN,NaN,56.98759637699614,50.26842034115292,NaN,NaN
1612310400,35513,37723.72,35393.8,37678.37,38570.13,38570.13,28732,28732,36931.96333333334,34098.808999999994,38106.821717250146,30090.79628274984,33495.30951932306,35203.05711883475,NaN,NaN,62.02699974708077,50.646823769335995,NaN,NaN
1612396800,37688.42,38769,36156.45,36975,38570.13,38570.13,28732,28732,37300.15,34109.82549999999,38148.07461217498,30071.576387825004,34559.61732483654,35848.88927642228,NaN,NaN,59.585286447000954,51.7605277913342,NaN,NaN
1612483200,36976.59,38349,36605.87,38311.49,38570.13,38570.13,28732,28732,37755.45333333333,34225.052999999985,38591.43990610997,29858.666093890006,35385.55186544952,37302.81864414167,NaN,NaN,62.59811193145213,52.69051643205403,NaN,NaN
1612569600,38327.09,41000,38250,39265.43,38570.13,38570.13,28732,28732,39505.14333333333,34397.32449999999,39246.956816873484,29547.692183126488,36757.78790852058,37978.487870645746,NaN,NaN,64.62518179658969,53.91464717208145,NaN,NaN
1612656000,39266.1,39737.83,37371.35,38871.42,38570.13,38570.13,28732,28732,38660.2,34509.683999999994,39655.567740169274,29363.800259830714,37508.16440039731,38925.93848241878,NaN,NaN,63.10392534059079,54.99597476512247,NaN,NaN
1612742400,38871.43,46750,38057.01,46448.1,38570.13,38570.13,28732,28732,43751.70333333334,35036.22499999999,42349.22901931948,27723.220980680504,39242.19236645447,41431.24665901452,NaN,NaN,75.19558715113246,56.94606209833339,NaN,NaN
1612828800,46453.66,48200,45020,46514.73,38570.13,38570.13,28732,28732,46578.24333333334,35586.80699999999,44451.06604704091,26722.547952959074,40950.04804968188,43160.08798989277,NaN,NaN,75.2723346962311,58.84712187685415,NaN,NaN
1612915200,46514.73,47349.99,43706.86,44850,38570.13,38570.13,28732,28732,45302.28333333333,36286.50949999999,45736.47782900416,26836.541170995824,42779.783020731185,44958.23184512946,NaN,NaN,69.48737763339041,60.74371682613098,NaN,NaN
1613001600,44850,48690,44011,47997.91,38570.13,38570.13,28732,28732,46899.636666666665,37037.15849999999,47634.29493536284,26440.022064637138,44489.501453854675,46727.3901805011,NaN,NaN,73.61652131244651,62.29732269660075,NaN,NaN
1613088000,47993.6,48912,46300,47408.34,38570.13,38570.13,28732,28732,47540.113333333335,37801.97499999999,49054.54746618673,26549.402533813256,46273.855924794436,47609.93503250465,NaN,NaN,71.66056810716455,63.571745482092915,NaN,NaN
1613174400,47408.34,48199,46300,47232.45,38570.13,38570.13,28732,28732,47243.81666666667,38549.16949999999,50215.12044178534,26883.21855821464,47533.022285795654,48563.584434612654,NaN,NaN,71.05402411716891,64.79289777716988,NaN,NaN
1613260800,47240.75,49700,47100.13,48680.69,38570.13,38570.13,28732,28732,48493.60666666667,39370.11049999999,51454.07298761403,27286.148012385944,48880.971676423746,49337.50060279429,NaN,NaN,73.07482994117382,66.41545040206806,NaN,NaN
1613347200,48667.23,49093.44,45768.46,47936.37,38570.13,38570.13,28732,28732,47599.42333333333,40141.38799999999,52344.20982962727,27938.566170372716,49561.36283014044,49584.84045326115,50526.78797114808,NaN,70.3562451913011,67.76032784212282,NaN,NaN
1613433600,47935.66,50645,47051.22,49158.71,38570.13,38570.13,28732,28732,48951.64333333333,41078.96699999999,53024.84103787971,29133.09296212027,50526.78797114808,50182.10448591209,NaN,NaN,72.18624761748634,68.84594578787213,NaN,NaN
1613520000,49141.43,52640.35,48942.87,52170.01,38570.13,38570.13,28732,28732,51251.07666666667,42013.01799999999,54353.79586202916,29672.24013797082,51234.17047875459,51130.09202511041,NaN,NaN,76.10053970847402,69.85119864225734,NaN,NaN
1613606400,52170.01,52549.99,50875,51601.73,38570.13,38570.13,28732,28732,51675.573333333334,42879.99899999999,55356.438340669294,30403.55965933068,52176.53582932979,51705.48777778889,NaN,53083.13798114631,73.98448291249426,70.87971267550687,NaN,NaN
1613692800,51596,56370.05,50725,55983.56,38570.13,38570.13,28732,28732,54359.53666666666,43963.39549999999,57026.22542383589,30900.5655761641,53083.13798114631,53606.595159867225,NaN,NaN,78.86457853625753,72.04160314727868,NaN,NaN
1613779200,55983.57,57563.57,54000.1,55923.52,38570.13,38570.13,28732,28732,55829.06333333334,45102.68449999999,58164.67363363292,32040.695366367057,54336.094286487845,54420.45081704713,NaN,NaN,78.64688414826958,73.04315331525581,NaN,NaN
1613865600,55921.44,58367,55531.23,57489.16,38570.13,58367,28732,28732,57129.130000000005,46300.48299999999,59292.441651644775,33308.52434835521,55469.58060109349,56292.0944409149,NaN,NaN,80.1830495462633,74.26309075851815,NaN,NaN
1613952000,57489.16,57577.69,46616,54142.13,38570.13,58367,28732,28732,52778.606666666674,47231.95599999999,59655.45492248799,34808.457077511994,55771.56476153011,56091.92396383412,55599.21344964241,NaN,68.78967533653655,73.80552562890414,NaN,NaN
1614038400,54125.67,54206.22,44888.08,48899.99,38570.13,58367,28732,28732,49331.43,47793.03699999999,59428.60077301801,36157.473226981965,55599.21344964241,55182.2768435349,NaN,NaN,55.49056392249697,72.39254200220884,NaN,NaN
1614124800,48899.99,51415.41,47002,49737.82,38570.13,58367,28732,28732,49385.07666666667,48431.17799999999,58971.95120926637,37890.40479073361,54916.388673622205,53834.521645429784,NaN,NaN,56.92396287339872,71.49515523363802,NaN,NaN
1614211200,49737.81,52107.83,46700,47058.48,38570.13,58367,28732,28732,48622.10333333333,48868.52749999999,58367.89823836793,39369.156761632046,54133.32998515685,51783.722280968344,NaN,NaN,51.240830704340574,69.89689161877331,NaN,NaN
